TITLE,LOCALITY,TYPE,BHK,AREA,PRICE,AMENITIES,SELLER,STATUS,CREATED_AT,CONTACT,GROUP_URL
Prime Land for Sale,"Tellapur, Hyderabad",Plot,-,-,55,-,M/s. AAFRAA REALTORS,-,2026-03-06T06:48:25.000Z,9940581173,https://www.facebook.com/groups/1410941459137932/
Stone Poles,Hyderabad,-,-,-,180,-,-,-,2026-03-06T06:48:23.000Z,7337403583,https://www.facebook.com/groups/1410941459137932/
Open plots for sale,Hyderabad,Plot,-,-,13500,-,-,-,2026-03-06T06:48:23.000Z,-,https://www.facebook.com/groups/1410941459137932/
1500 acres land for sale at low cost,Kadiri,Agricultural Land,-,1500,550000,-,-,-,2026-03-06T06:48:22.000Z,9381668911,https://www.facebook.com/groups/1410941459137932/
DTCP&RERA PLOTS FOR SALE,Hyderabad,Plot,-,-,12500,"Roads, Electricity, Water",-,-,2026-03-06T06:48:21.000Z,9494926361,https://www.facebook.com/groups/1410941459137932/
HMDA&RERA PLOTS FOR SALE,"Ramdaspally, Adibatla",Plot,-,-,21000,-,-,ready_to_move,2026-03-06T06:48:22.000Z,"949492661, 9494926361",https://www.facebook.com/groups/1410941459137932/
Open plots for sale,Hyderabad,Plot,-,-,2599,-,-,-,2026-03-06T06:48:21.000Z,-,https://www.facebook.com/groups/1410941459137932/
Open plots for sale,Hyderabad,Plot,-,-,6500,-,-,-,2026-03-06T06:48:21.000Z,-,https://www.facebook.com/groups/1410941459137932/
BRAND NEW 1 BHK APARTMENT FOR SALE IN YADAGIRIGUTTA,Yadagirigutta,Apartment,1,-,123,-,-,-,2026-03-02T09:51:04.000Z,-,https://www.facebook.com/groups/1410941459137932/
"4 BHK APARTMENT FOR SALE NEAR JUBILEE HILLS, SHAIKPET","Jubilee Hills, Shaikpet",Apartment,4,-,123,-,-,-,2026-03-02T02:17:02.000Z,-,https://www.facebook.com/groups/1410941459137932/
3 beds · 3 bath · Apartment,Hyderabad,Apartment,3,-,6000,-,-,-,2026-02-24T13:25:04.000Z,9396647848,https://www.facebook.com/groups/1410941459137932/
2000 SQFT APARTMENT FOR SALE IN TARNAKA,TARNAKA,Apartment,-,2000,123,-,-,-,2026-02-24T10:24:47.000Z,-,https://www.facebook.com/groups/1410941459137932/
House,Moinabad,House,-,-,10500,-,-,-,2026-02-20T07:12:54.000Z,-,https://www.facebook.com/groups/1410941459137932/
House,Moinabad,House,-,-,13999,-,-,-,2026-02-20T06:03:41.000Z,-,https://www.facebook.com/groups/1410941459137932/
Plot for sale Karthal 4Th City Srisailam highway road to 1km Karthal town 378 Noth East Corner,Karthal,Plot,-,-,16000,-,-,-,2026-01-01T04:01:25.000Z,-,https://www.facebook.com/groups/1410941459137932/
